#h	Amm
0	1036.12
0.0545	1036.12
0.096875	1036.12
0.146875	1036.12
0.196875	1036.12
0.236625	1036.12
0.37175	998.596
0.534375	944.698
0.72675	886.832
0.8815	821.765
1.10375	757.745
1.28125	697.619
1.36138	675.062
1.53388	606.25
1.76625	542.414
1.98138	466.298
2.0715	452.059
2.23125	371.452
2.29625	345.107
