#h	Amm
0	895.994
0.05725	895.994
0.10725	895.994
0.159625	895.994
0.207125	895.994
0.239625	895.994
0.302125	895.994
0.387125	868.587
0.57475	829.108
0.722	764.496
0.8495	730.754
0.964625	684.781
1.1145	623.235
1.24438	570.539
1.407	508.94
1.50463	472.041
1.632	423.696
1.73438	378.009
1.8695	312.747
2.00212	275.718
2.11212	237.039
2.197	197.841
2.2745	158.556
2.297	147.071
