#h	Amm
0	1017.53
0.03925	1017.53
0.07925	1017.53
0.11925	1017.53
0.156625	1017.53
0.19425	1017.53
0.23175	1017.53
0.26175	1017.53
0.296625	1017.53
0.331625	1017.53
0.371625	1017.53
0.40925	1017.53
0.444125	1017.53
0.479125	1017.53
0.5115	1017.53
0.561625	1017.53
0.59925	1017.53
0.636625	1009.93
0.73175	1004.12
0.84425	998.324
0.989125	958.205
1.13163	914.652
1.26938	852.281
1.42925	802.481
1.55663	744.165
1.70675	699.302
1.80175	665.435
1.91162	615.577
2.04662	574.938
2.18938	527.098
2.29675	486.804
